en,ru,de,es,fr
punishment,наказание,bestrafung,castigo,châtiment
purchase,покупка,kauf,compra,achat
pure,чистый,rein,puro,pur
purpose,цель,zweck,propósito,objectif
pursue,продолжить,verfolgen,perseguir,poursuivre
push,от себя,drücken,empujar,pousser
put,положил,stellen,poner,mettre
qualify,право,qualifizieren,calificar,qualifier
quality,качественный,qualität,calidad,qualité
quarter,квартал,quartal,trimestre,trimestre
quarterback,защитник,quarterback,jugador de ataque,stratège
question,вопрос,frage,pregunta,question
quick,быстро,schnell,rápido,rapide
quickly,быстро,schnell,con rapidez,rapidement
quiet,тихо,ruhig,tranquilo,silencieux
quietly,тихо,ruhig,tranquilamente,tranquillement
quit,уволиться,verlassen,dejar,quitter
quite,довольно,ganz,bastante,assez
quote,цитата,zitat,citar,citation
race,раса,rennen,carrera,course
racial,расовый,rasse,racial,racial
radical,радикал,radikale,radical,radical
radio,радио,radio,radio,radio
rail,рельсы,schiene,carril,rail
rain,дождь,regen,lluvia,pluie
raise,поднять,erziehen,aumento,élever
range,ассортимент,angebot,distancia,gamme
rank,ранг,rang,rango,rang
rapid,быстрый,schnell,rápido,rapide
rapidly,быстро,schnell,rápidamente,rapidement
rare,редко,selten,raro,rare
rarely,редко,selten,raramente,rarement
rate,ставка,preis,tarifa,taux
rather,скорее,lieber,más bien,plutôt
rating,рейтинг,bewertung,clasificación,évaluation
ratio,отношение,verhältnis,proporción,rapport
raw,сырой,roh,crudo,brut
reach,достичь,erreichen,alcanzar,atteindre
react,реагируют,reagieren,reaccionar,réagir
reaction,реакция,reaktion,reacción,réaction
read,читать,lesen,leer,lis
reader,читатель,leser,lector,lecteur
reading,чтение,lesen,leyendo,en train de lire
ready,готов,bereit,listo,prêt
real,реальный,echt,real,réal
reality,реальность,wirklichkeit,realidad,réalité
realize,понимать,realisieren,darse cuenta de,prendre conscience de
really,действительно,ja wirklich,de verdad,vraiment
reason,причина,grund,razón,raison
reasonable,разумный,vernünftig,razonable,raisonnable
recall,отзыв,erinnern,recordar,rappel
receive,получать,erhalten,recibir,recevoir
recent,недавнее,kürzlich,reciente,récent
recently,в последнее время,vor kurzem,recientemente,récemment
recipe,рецепт,rezept,receta,recette
recognition,признание,anerkennung,reconocimiento,reconnaissance
recognize,признают,erkenne,reconocer,reconnaître
recommend,рекомендовать,empfehlen,recomendar,recommander
recommendation,рекомендация,empfehlung,recomendación,recommandation
record,запись,aufzeichnung,grabar,record
recording,запись,aufzeichnung,grabación,enregistrement
recover,восстановить,erholen,recuperar,récupérer
recovery,восстановление,wiederherstellung,recuperación,récupération
recruit,нанимать на работу,rekrutieren,recluta,recruter
red,красный,rot,rojo,rouge
reduce,уменьшить,reduzieren,reducir,réduire
reduction,сокращение,die ermäßigung,reducción,réduction
refer,см,verweisen,referir,référer
reference,справка,referenz,referencia,référence
reflect,отражать,reflektieren,reflejar,réfléchir
reflection,отражение,betrachtung,reflexión,réflexion
reform,реформа,reform,reforma,réforme
refugee,беженец,flüchtling,refugiado,réfugié
refuse,отказаться,sich weigern,desperdicios,refuser
regard,учитывая,betrachten,considerar,ce qui concerne
regarding,относительно,bezüglich,respecto a,en ce qui concerne
regardless,несмотря на,ungeachtet,independientemente,indépendamment
regime,режим,regime,régimen,régime
region,область,region,región,région
regional,региональный,regional,regional,régional
register,регистр,neu registrieren,registro,registre
regular,стабильный,regulär,regular,ordinaire
regularly,регулярно,regelmäßig,regularmente,régulièrement
regulate,регулировать,regulieren,regular,réglementer
regulation,регулирование,verordnung,regulación,règlement
reinforce,усилить,verstärken,reforzarse,renforcer
reject,отклонить,ablehnen,rechazar,rejeter
relate,иметь отношение,sich beziehen,relacionar,rapporter
relation,связь,beziehung,relación,relation
relationship,отношения,beziehung,relación,relation
relative,относительный,relativ,relativo,relatif
relatively,относительно,verhältnismäßig,relativamente,relativement
relax,расслабиться,entspannen sie sich,relajarse,se détendre
release,выпуск,freisetzung,lanzamiento,libération
relevant,соответствующий,relevant,pertinente,pertinent
relief,облегчение,relief,alivio,le soulagement
religion,религия,religion,religión,religion
religious,религиозный,religiös,religioso,religieux
rely,полагаться,sich verlassen,confiar,compter
remain,остаются,bleiben übrig,permanecer,rester
remaining,осталось,verbleibend,restante,restant
remarkable,замечательный,bemerkenswert,notable,remarquable
remember,запомнить,merken,recuerda,rappelles toi
remind,напомнить,erinnern,recordar,rappeler
remote,дистанционный пульт,remote,remoto,éloigné
remove,удалить,entfernen,retirar,retirer
repeat,повторение,wiederholen,repetir,répéter
repeatedly,неоднократно,wiederholt,repetidamente,à plusieurs reprises
replace,заменить,ersetzen,reemplazar,remplacer
reply,ответить,antworten,respuesta,répondre
report,доклад,bericht,informe,rapport
reporter,репортер,reporter,reportero,journaliste
represent,представлять,vertreten,representar,représenter
representation,представление,darstellung,representación,représentation
representative,представитель,vertreter,representante,représentant
republican,республиканский,republikaner,republicano,républicain
reputation,репутация,ruf,reputación,réputation
request,запрос,anfordern,solicitud,demande
require,требуют,erfordern,exigir,exiger
requirement,требование,anforderung,requisito,exigence
research,исследование,forschung,investigación,recherche
researcher,исследователь,forscher,investigador,chercheur
resemble,напоминают,ähneln,parecerse a,ressembler
reservation,оговорка,reservierung,reserva,réservation
resident,резидент,einwohner,residente,résident
resist,оказывать сопротивление,widerstehen,resistir,résister
resistance,сопротивление,widerstand,resistencia,la résistance
resolution,разрешающая способность,lösung,resolución,résolution
resolve,разрешить,entschlossenheit,resolver,résoudre
resort,курорт,resort,recurso,recours
resource,ресурс,ressource,recurso,ressource
respect,уважение,die achtung,el respeto,le respect
respond,отвечать,reagieren,responder,répondre
respondent,ответчик,befragter,demandado,intimé
response,ответ,antwort,respuesta,réponse
responsibility,обязанность,verantwortung,responsabilidad,responsabilité
responsible,ответственность,verantwortlich,responsable,responsable
rest,отдых,sich ausruhen,descanso,du repos
restaurant,ресторан,restaurant,restaurante,restaurant
restore,восстановить,wiederherstellen,restaurar,restaurer
restriction,ограничение,beschränkung,restricción,restriction
result,результат,ergebnis,resultado,résultat
retain,сохранить,behalten,conservar,conserver
retire,выходить на пенсию,in den ruhestand gehen,jubilarse,se retirer
retirement,выход на пенсию,pensionierung,jubilación,retraite
return,вернуть,rückkehr,regreso,revenir
reveal,выявить,verraten,revelar,révéler
revenue,доходы,einnahmen,ingresos,revenu
review,обзор,überprüfung,revisión,la revue
revolution,революция,revolution,revolución,révolution
rhythm,ритм,rhythmus,ritmo,rythme
rice,рис,reis,arroz,riz
rich,богатые,reich,rico,riches
rid,избавиться,loswerden,eliminar,débarrasser
ride,поездка,reiten,paseo,balade
rifle,винтовка,gewehr,rifle,fusil
right,правильно,recht,derecho,droite
ring,кольцо,ring,anillo,bague
rise,подъем,erhebt euch,subir,augmenter
risk,риск,risiko,riesgo,risque
river,река,fluss,río,rivière
road,дорога,straße,la carretera,route
rock,камень,rock,rock,roche
role,роль,rolle,papel,rôle
roll,рулон,rollen,rodar,rouleau
romantic,романтик,romantisch,romántico,romantique
roof,крыша,dach,techo,toit
room,комната,zimmer,habitación,chambre
root,корень,wurzel,raíz,racine
rope,веревка,seil,cuerda,corde
rose,роза,rose,rosa,rose
rough,грубый,rau,áspero,rugueux
roughly,примерно,grob,aproximadamente,grossièrement
round,круглый,runden,redondo,rond
route,маршрут,route,ruta,route
routine,рутина,routine,rutina,routine
row,ряд,reihe,fila,rangée
rub,натирать,reiben,frotar,frotter
rule,правило,regel,regla,règle
run,бег,lauf,correr,courir
running,бег,laufen,corriendo,fonctionnement
rural,сельский,ländlich,rural,rural
rush,порыв,eilen,prisa,se ruer
russian,русский,russisch,ruso,russe
sacred,священный,heilig,sagrado,sacré
sad,грустный,traurig,triste,triste
safe,безопасно,safe,seguro,sûr
safety,безопасность,sicherheit,la seguridad,sécurité
sake,ради,sake,motivo,saké
salad,салат,salat,ensalada,salade
salary,зарплата,gehalt,salario,un salaire
sale,продажа,verkauf,venta,vente
sales,продажи,der umsatz,ventas,ventes
salt,поваренная соль,salz,sal,sel
same,одна и та же,gleich,mismo,même
sample,образец,sample,muestra,échantillon
sanction,разрешение,sanktion,sanción,sanction
sand,песок,sand,arena,le sable
satellite,спутник,satellit,satélite,satellite
satisfaction,удовлетворение,befriedigung,satisfacción,la satisfaction
satisfy,удовлетворяют,erfüllen,satisfacer,satisfaire
sauce,соус,soße,salsa,sauce
save,спасти,sparen,salvar,enregistrer
saving,экономия,sparen,ahorro,économie
say,сказать,sagen,decir,dire
scale,масштаб,rahmen,escala,échelle
scandal,скандал,skandal,escándalo,scandale
scared,испуганный,erschrocken,asustado,effrayé
scenario,сценарий,szenario,guión,scénario
scene,место действия,szene,escena,scène
schedule,график,zeitplan,programar,programme
scheme,схема,schema,esquema,schème
scholar,ученый,gelehrte,erudito,savant
scholarship,стипендия,stipendium,beca,bourse d'études
school,школа,schule,colegio,école
science,наука,wissenschaft,ciencia,science
scientific,научный,wissenschaftlich,científico,scientifique
scientist,ученый,wissenschaftler,científico,scientifique
scope,объем,umfang,alcance,portée
score,гол,ergebnis,puntuación,but
scream,кричать,schrei,gritar,crier
screen,экран,bildschirm,pantalla,écran
script,сценарий,skript,guión,scénario
sea,море,meer,mar,mer
search,поиск,suche,buscar,chercher
season,время года,jahreszeit,temporada,saison
seat,место,sitz,asiento,siège
second,второй,zweite,segundo,seconde
secret,секрет,geheimnis,secreto,secret
secretary,секретарь,sekretariat,secretario,secrétaire
section,раздел,abschnitt,sección,section
sector,сектор,sektor,sector,secteur
secure,безопасный,sichern,seguro,garantir
security,безопасность,sicherheit,seguridad,sécurité
see,видеть,sehen,ver,voir
seed,семя,samen,semilla,la graine
seek,искать,suchen,buscar,chercher
seem,казаться,scheinen,parecer,sembler
segment,сегмент,segment,segmento,segment
seize,воспользоваться,ergreifen,aprovechar,s'emparer de
select,выбрать,wählen,seleccionar,sélectionner
selection,выбор,auswahl,selección,sélection
self,я,selbst,yo,soi
sell,продать,verkaufen,vender,vendre
senate,сенат,senat,senado,sénat
senator,сенатор,senator,senador,sénateur
send,отправить,senden,enviar,envoyer
senior,старшая,senior,mayor,sénior
sense,смысл,sinn,sentido,sens
sensitive,чувствительный,empfindlich,sensible,sensible
sentence,предложение,satz,frase,phrase
separate,отдельный,getrennte,separar,séparé
sequence,последовательность,sequenz,secuencia,séquence
series,серии,serie,serie,séries
serious,серьезный,ernst,grave,sérieux
seriously,шутки в сторону,ernst,seriamente,sérieusement
serve,обслуживать,dienen,servir,servir
service,оказание услуг,bedienung,servicio,un service
session,сессии,session,sesión,session
set,задавать,set,conjunto,ensemble
setting,настройка,rahmen,ajuste,réglage
settle,селиться,regeln,resolver,régler
settlement,поселок,siedlung,asentamiento,règlement
seven,семь,sieben,siete,sept
several,несколько,mehrere,varios,nombreuses
severe,серьезный,schwer,grave,sévère
sex,секс,sex,sexo,sexe
sexual,сексуальный,sexuell,sexual,sexuel
shade,тень,schatten,sombra,ombre
shadow,тень,schatten,sombra,ombre
shake,трясти,shake,sacudir,secouer
shall,должен,soll,deberá,doit
shape,форма,gestalten,forma,forme
share,доля,aktie,compartir,partager
sharp,острый,scharf,agudo,tranchant
she,она,sie,ella,elle
sheet,лист,blatt,hoja,drap
shelf,полка,regal,estante,étagère
shell,оболочка,schale,cáscara,coquille
shelter,приют,schutz,abrigo,abri
shift,сдвиг,verschiebung,cambio,décalage
shine,блеск,scheinen,brillar,éclat
ship,корабль,schiff,enviar,navire
shirt,рубашка,hemd,camisa,chemise
shit,дерьмо,scheisse,mierda,merde
shock,шок,schock,choque,choc
shoe,башмак,schuh,zapato,chaussure
shoot,стрелять,schießen,disparar,tirer
shooting,стрельба,schießen,disparo,tournage
shop,магазин,geschäft,tienda,boutique
shopping,поход по магазинам,einkaufen,compras,achats
shore,берег,ufer,apuntalar,rive
short,короткая,kurz,corto,court
shortly,в ближайшее время,kurz,dentro de poco,prochainement
shot,выстрелил,schuss,disparo,coup
should,должен,sollte,debería,devrait
shoulder,плечо,schulter,hombro,épaule
shout,рупор,schreien,gritar,crier
show,показать,show,espectáculo,montrer
shower,душ,dusche,ducha,douche
shrug,пожимание плечами,zucken,encogimiento de hombros,hausser les épaules
shut,закрыть,geschlossen,cerrar,fermer
sick,больной,krank,enfermos,malade
side,боковая сторона,seite,lado,côté
sigh,вздох,seufzer,suspiro,soupir
sight,взгляд,sehenswürdigkeit,visión,vue
sign,знак,schild,firmar,signe
signal,сигнал,signal,señal,signal
significance,значение,bedeutung,significado,importance
significant,значительное,signifikant,significativo,important
significantly,значительно,bedeutend,significativamente,significativement
silence,молчание,schweigen,silencio,silence
silent,молчит,still,silencio,silencieux
silver,серебряный,silber,plata,argent
similar,аналогичный,ähnlich,similar,similaire
similarly,по аналогии,ähnlich,similar,de même
simple,просто,einfach,sencillo,simple
simply,просто,einfach,simplemente,simplement
sin,грех,sünde,pecado,péché
since,поскольку,schon seit,ya que,depuis
sing,петь,singen,canta,chanter
singer,певец,sänger,cantante,chanteur
single,один,single,soltero,unique
sink,тонуть,sinken,lavabo,évier
sir,сэр,herr,señor,monsieur
sister,сестра,schwester,hermana,sœur
sit,сидеть,sitzen,sentar,asseoir
site,сайт,standort,sitio,site
situation,ситуация,lage,situación,situation
six,шесть,sechs,seis,six
size,размер,größe,tamaño,taille
ski,лыжи,ski,esquí,ski
skill,умение,fähigkeit,habilidad,compétence
skin,кожа,haut,piel,peau
sky,небо,himmel,cielo,ciel
slave,раб,sklave,esclavo,esclave
sleep,спать,schlaf,dormir,dormir
slice,кусочек,scheibe,rebanada,tranche
slide,горка,gleiten,diapositiva,faire glisser
slight,легкое,leicht,leve,léger
slightly,слегка,leicht,ligeramente,légèrement
slip,проскальзывание,unterhose,resbalón,caleçon
slow,медленный,langsam,lento,lent
slowly,медленно,langsam,despacio,lentement
small,маленький,klein,pequeña,petit
smart,умная,schlau,inteligente,intelligent
smell,запах,geruch,oler,odeur
smile,улыбка,lächeln,sonreír,sourire
smoke,дым,rauch,fumar,fumée
smooth,гладкий; плавный,glatt,suave,lisse
snap,щелчок,schnappen,chasquido,casser
snow,снег,schnee,nieve,neige
so,так,damit,asi que,alors
so-called,так называемые,sogenannt,así llamado,soi-disant
soccer,футбольный,fußball,fútbol,football
social,социальное,sozial,social,social
society,общество,gesellschaft,sociedad,société
soft,мягкий,weich,suave,doux
software,программного обеспечения,software,software,logiciel
soil,почва,boden,suelo,sol
solar,солнечный,solar,solar,solaire
soldier,солдат,soldat,soldado,soldat
solid,твердый,solide,sólido,solide
solution,решение,lösung,solución,solution
solve,решать,lösen,resolver,résoudre
some,некоторые,etwas,algunos,certains
somebody,кто-то,jemand,alguien,quelqu'un
somehow,как-то,irgendwie,de algun modo,en quelque sorte
someone,кто то,jemand,alguien,quelqu'un
something,что нибудь,etwas,alguna cosa,quelque chose
sometimes,иногда,manchmal,a veces,parfois
somewhat,в некотором роде,etwas,algo,quelque peu
somewhere,где-то,irgendwo,algun lado,quelque part
son,сын,sohn,hijo,fils
song,песня,lied,canción,chant
soon,скоро,bald,pronto,bientôt
sophisticated,сложные,anspruchsvoll,sofisticado,sophistiqué
sorry,прости,es tut uns leid,lo siento,pardon
sort,сортировать,sortieren,ordenar,trier
soul,душа,seele,alma,âme
sound,звук,klingen,sonar,du son
soup,суп,suppe,sopa,soupe
source,источник,quelle,fuente,la source
south,юг,süd,sur,sud
southern,южная,süd,del sur,du sud
soviet,советская,sowjetisch,soviet,soviétique
space,пространство,platz,espacio,espace
spanish,испанский,spanisch,español,espanol
speak,говорить,sprechen,hablar,parler
speaker,оратор,redner,altavoz,orateur
special,особый,besondere,especial,spécial
specialist,специалист,spezialist,especialista,spécialiste
species,виды,spezies,especies,espèce
specific,конкретный,spezifisch,específico,spécifique
specifically,конкретно,speziell,específicamente,plus précisément
speech,речь,rede,habla,discours
speed,скорость,geschwindigkeit,velocidad,la vitesse
spend,проводить,verbringen,gastar,dépenser
spending,расходы,ausgaben,gasto,dépenses
spin,вращение,drehen,girar,tourner
spirit,дух,geist,espíritu,esprit
spiritual,духовность,geistig,espiritual,spirituel
split,трещина,teilt,división,divisé
spokesman,представитель,sprecher,portavoz,porte-parole
sport,спорт,sport,deporte,sport
spot,место,stelle,lugar,place
spread,распространение,verbreitung,untado,propager
spring,весна,frühling,primavera,printemps
square,квадрат,platz,cuadrado,carré
squeeze,выжимать,drücken,exprimir,écraser
stability,стабильность,stabilität,estabilidad,la stabilité
stable,стабильный,stabil,estable,stable
staff,сотрудники,personal,personal,personnel
stage,сцена,stufe,escenario,étape
stair,ступенька,treppe,escalera,escalier
stake,доля,anteil,estaca,pieu
stand,стоять,stand,estar,supporter
standard,стандарт,standard,estándar,la norme
standing,стоя,stehen,en pie,permanent
star,звезда,star,estrella,étoile
stare,глазеть,starren,mirar fijamente,regard
start,начало,anfang,comienzo,début
state,государство,bundesland,estado,etat
statement,заявление,erklärung,declaración,déclaration
station,станция,bahnhof,estación,gare
statistics,статистика,statistiken,estadística,statistiques
status,положение дел,status,estado,statut
stay,оставаться,bleibe,permanecer,rester
steady,стабильный,stetig,estable,stable
steal,украсть,stehlen,robar,voler
steel,стали,stehlen,acero,acier
step,шаг,schritt,paso,étape
stick,придерживаться,stock,palo,bâton
still,все еще,immer noch,todavía,encore
stir,размешать,rühren,remover,remuer
stock,акции,stock,valores,stock
stomach,желудок,bauch,estómago,estomac
stone,камень,stein,piedra,pierre
stop,стоп,halt,detener,arrêtez
storage,место хранения,lagerung,almacenamiento,espace de rangement
store,магазин,geschäft,almacenar,le magasin
storm,буря,sturm,tormenta,orage
story,история,geschichte,historia,récit
straight,прямо,gerade,derecho,tout droit
strange,странный,komisch,extraño,étrange
stranger,незнакомец,fremder,desconocido,étranger
strategic,стратегический,strategisch,estratégico,stratégique
strategy,стратегия,strategie,estrategia,stratégie
stream,поток,strom,corriente,courant
street,улица,straße,calle,rue
strength,прочность,stärke,fuerza,force
strengthen,укреплять,stärken,fortalecer,renforcer
stress,стресс,stress,estrés,stress
stretch,протяжение,strecken,tramo,étendue
strike,забастовка,streik,huelga,la grève
string,строка,string,cuerda,chaîne
strip,полоса,streifen,tira,bande
stroke,инсульт,schlaganfall,carrera,accident vasculaire cérébral
strong,сильный,stark,fuerte,fort
strongly,сильно,stark,fuertemente,fortement
structure,состав,struktur,estructura,structure
struggle,борьба,kampf,lucha,lutte
student,студент,schüler,estudiante,étudiant
studio,студия,studio,estudio,studio
study,изучение,studie,estudiar,étude
stuff,материал,sachen,cosas,des trucs
stupid,глупый,blöd,estúpido,stupide
style,стиль,stil,estilo,style
subject,предмет,fach,tema,assujettir
submit,отправить,einreichen,enviar,soumettre
subsequent,последующий,anschließend,subsecuente,subséquent
substance,вещество,substanz,sustancia,substance
substantial,существенный,substantiell,sustancial,substantiel
succeed,добиться успеха,gelingen,tener éxito,réussir
success,успех,erfolg,éxito,succès
successful,успешный,erfolgreich,exitoso,réussi
successfully,успешно,erfolgreich,exitosamente,avec succès
such,такие,eine solche,tal,tel
sudden,внезапное,plötzlich,repentino,soudain
suddenly,внезапно,plötzlich,repentinamente,soudainement
sue,сью,verklagen,demandar,poursuivre en justice
suffer,страдать,leiden,sufrir,souffrir
sufficient,достаточно,ausreichend,suficiente,suffisant
sugar,сахар,zucker,azúcar,sucre
suggest,предлагать,vorschlagen,sugerir,suggérer
suggestion,предложение,vorschlag,sugerencia,suggestion
suicide,самоубийство,selbstmord,suicidio,suicide
suit,костюм,anzug,traje,costume
summer,лето,sommer,verano,été
summit,саммит,gipfel,cumbre,sommet
sun,солнце,sonne,sol,soleil
super,супер,super,súper,super
supply,поставка,liefern,suministro,la fourniture
support,поддержка,unterstützung,apoyo,soutien
supporter,сторонник,fan,seguidor,supporter
suppose,предположим,annehmen,suponer,supposer
supposed,должен,angeblich,supuesto,supposé
supreme,supreme,höchste,supremo,suprême
sure,конечно,sicher,por supuesto,sûr
surely,безусловно,sicherlich,seguramente,sûrement
surface,поверхность,oberfläche,superficie,surface
surgery,хирургия,chirurgie,cirugía,chirurgie
surprise,сюрприз,überraschen,sorpresa,surprise
surprised,удивил,überrascht,sorprendido,surpris
surprising,удивительно,überraschend,sorprendente,surprenant
surprisingly,как ни странно,überraschenderweise,asombrosamente,étonnamment
surround,окружают,umgeben,rodear,entourer
survey,опрос,umfrage,encuesta,enquête
survival,выживание,überleben,supervivencia,survie
survive,выжить,überleben,sobrevivir,survivre
survivor,выживший,überlebende,sobreviviente,survivant
suspect,подозреваемый,vermuten,sospechar,suspect
sustain,сохранить,sustain,sostener,soutenir
swear,клянусь,schwören,jurar,jurer
sweep,подметать,fegen,barrer,balayage
sweet,милая,süß,dulce,doux
swim,плавать,schwimmen,nadar,nager
swing,качели,swing,oscilación,balançoire
switch,переключатель,schalter,cambiar,commutateur
symbol,символ,symbol,símbolo,symbole
symptom,симптом,symptom,síntoma,symptôme
system,система,system,sistema,système
table,таблица,tabelle,mesa,table
tablespoon,столовая,esslöffel,cucharada,cuillerée à soupe
tactic,тактика,taktik,táctica,tactique
tail,хвост,schwanz,cola,queue
take,взять,nehmen,tomar,prendre
tale,сказка,geschichte,cuento,conte
talent,талант,talent,talento,talent
talk,говорить,sich unterhalten,hablar,parler
tall,высокий,hoch,alto,grand
tank,бак,panzer,tanque,réservoir
tap,нажмите,tippen,grifo,robinet
tape,лента,band,cinta,ruban
target,цель,ziel,objetivo,cible
task,задача,aufgabe,tarea,tâche
taste,вкус,geschmack,gusto,goût
tax,налог,steuer,impuesto,impôt
taxpayer,налогоплательщик,steuerzahler,contribuyente,contribuable
tea,чай,tee,té,thé
teach,учат,lehren,enseñar,apprendre
teacher,учитель,lehrer,profesor,prof
teaching,учение,lehren,enseñando,enseignement
team,команда,mannschaft,equipo,équipe
tear,слеза,träne,lágrima,larme
teaspoon,чайная ложка,teelöffel,cucharilla,cuillère à café
technical,технический,technisch,técnico,technique
technique,техника,technik,técnica,technique
technology,технологии,technologie,tecnología,la technologie
teen,подросток,jugendlich,adolescente,adolescent
teenager,подросток,teenager,adolescente,adolescent
telephone,телефон,telefon,teléfono,téléphone
telescope,телескоп,fernrohr,telescopio,télescope
television,телевидение,fernsehen,televisión,télévision
tell,рассказать,sagen,contar,dire
temperature,температура,temperatur,temperatura,température
temporary,временный,vorübergehend,temporal,temporaire
ten,10,zehn,diez,dix
tend,как правило,neigen,tender,tendre
tendency,тенденция,tendenz,tendencia,tendance
tennis,большой теннис,tennis,tenis,tennis
tension,напряжение,spannung,tensión,tension
tent,палатка,zelt,tienda,tente
term,срок,begriff,término,terme
terms,сроки,begriffe,condiciones,termes
terrible,ужасный,furchtbar,terrible,terrible
territory,территория,gebiet,territorio,territoire
terror,террор,terror,terror,la terreur
terrorism,терроризм,terrorismus,terrorismo,terrorisme
terrorist,террорист,terrorist,terrorista,terroriste
test,контрольная работа,test,prueba,tester
testify,свидетельствуют,bezeugen,testificar,témoigner
testimony,показания,zeugnis,testimonio,témoignage
testing,тестирование,testen,pruebas,essai
text,текст,text,texto,texte
than,чем,als,que,que
thank,спасибо,danken,gracias,remercier
thanks,благодаря,vielen dank,gracias,merci
that,что,dass,ese,cette
the,в и,das,el,la
theater,театр,theater,teatro,théâtre
their,их,ihr,su,leur
them,их,sie,ellos,leur
theme,тема,thema,tema,thème
themselves,самих себя,sich,sí mismos,se
then,тогда,dann,entonces,puis
theory,теория,theorie,teoría,theorie
therapy,терапия,therapie,terapia,thérapie
there,там,dort,ahí,là
therefore,следовательно,deswegen,por lo tanto,donc
these,эти,diese,estas,celles-ci
they,oни,sie,ellos,ils
thick,толстые,dick,grueso,épais
thin,тонкий,dünn,delgado,mince
thing,вещь,ding,cosa,chose
think,думать,denken,pensar,pense
thinking,мышление,denken,pensando,en pensant
third,в третьих,dritte,tercero,troisième
thirty,30,dreißig,treinta,30
this,это,dies,esta,ce
those,те,jene,aquellos,ceux
though,хоть,obwohl,aunque,bien que
thought,думал,habe gedacht,pensamiento,pensée
thousand,тысяча,tausend,mil,mille
threat,угроза,bedrohung,amenaza,menace
threaten,угрожать,drohen,amenazar,menacer
three,три,drei,tres,trois
throat,горло,kehle,garganta,gorge
through,через,durch,mediante,par
throughout,на протяжении,während,en todo,tout au long de
throw,бросить,werfen,lanzar,jeter
thus,таким образом,so,así,ainsi
ticket,билет,fahrkarte,boleto,billet
tie,привязать,krawatte,corbata,attacher
tight,в обтяжку,fest,apretado,serré
time,время,zeit,hora,temps
tiny,крошечный,sehr klein,minúsculo,minuscule
tip,наконечник,spitze,propina,pointe
tire,шина,reifen,neumático,pneu
tired,устала,müde,cansado,fatigué
tissue,ткань,gewebe,tejido,tissu
title,заглавие,titel,título,titre
to,в,nach,a,à
tobacco,табак,tabak,tabaco,le tabac
today,cегодня,heute,hoy,aujourd'hui
toe,палец,zehe,dedo del pie,doigt de pied
together,вместе,zusammen,juntos,ensemble
tomato,помидор,tomate,tomate,tomate
tomorrow,завтра,morgen,mañana,demain
tone,тон,ton,tono,ton
tongue,язык,zunge,lengua,langue
tonight,сегодня ночью,heute abend,esta noche,ce soir
too,слишком,auch,también,aussi
tool,инструмент,werkzeug,herramienta,outil
tooth,зуб,zahn,diente,dent
top,вверх,oben,parte superior,haut
topic,тема,thema,tema,sujet
toss,бросать,werfen,sacudida,lancer
total,всего,gesamt,total,total
totally,полностью,total,totalmente,totalement
touch,потрогать,berühren,toque,toucher
tough,жесткая,zäh,difícil,dure
tour,тур,tour,gira,tour
tourist,турист,tourist,turista,touristique
tournament,турнир,turnier,torneo,tournoi
toward,в сторону,zu,hacia,vers
towards,в направлении,in richtung,hacia,vers
tower,башня,turm,torre,la tour
town,город,stadt,pueblo,ville
toy,игрушка,spielzeug,juguete,jouet
trace,след,spur,rastro,trace
track,дорожка,spur,pista,piste
trade,сделка,handel,comercio,commerce
tradition,традиция,tradition,tradicion,tradition
traditional,традиционные,traditionell,tradicional,traditionnel
traffic,трафик,der verkehr,tráfico,circulation
tragedy,трагедия,tragödie,tragedia,la tragédie
trail,след,weg,sendero,piste
train,поезд,zug,tren,train
training,обучение,ausbildung,formación,entraînement
transfer,перевод,übertragung,transferir,transfert
transform,преобразование,verwandeln,transformar,transformer
transformation,преобразование,transformation,transformación,transformation
transition,переход,übergang,transición,transition
translate,переведите,übersetzen,traducir,traduire
transportation,транспорт,transport,transporte,transport
travel,путешествовать,reise,viajar,voyage
treat,рассматривать,behandeln,tratar,traiter
treatment,лечение,behandlung,tratamiento,traitement
treaty,договор,vertrag,tratado,traité
tree,дерево,baum,árbol,arbre
tremendous,огромный,ungeheuerlich,tremendo,énorme
trend,тренд,trend,tendencia,tendance
trial,испытание,versuch,juicio,procès
tribe,племя,stamm,tribu,tribu
trick,трюк,trick,truco,tour
trip,поездка,ausflug,viaje,voyage
troop,войска,trupp,tropa,troupe
trouble,беда,ärger,problema,problème
truck,грузовая машина,lkw,camión,un camion
true,правда,wahr,cierto,vrai
truly,истинно,wirklich,verdaderamente,vraiment
trust,доверять,vertrauen,confianza,confiance
truth,истина,wahrheit,verdad,vérité
try,пытаться,versuchen,tratar,essayer
tube,труба,tube,tubo,tube
tunnel,туннель,tunnel,túnel,tunnel
turn,очередь,wende,giro,tour
tv,тв,fernseher,televisión,la télé
twelve,двенадцать,zwölf,doce,douze
twenty,20,zwanzig,veinte,vingt
twice,дважды,zweimal,dos veces,deux fois
twin,близнец,zwilling,gemelo,double
two,два,zwei,dos,deux
type,тип,art,tipo,type
typical,типичный,typisch,típico,typique
typically,обычно,typisch,típicamente,typiquement
ugly,некрасиво,hässlich,feo,laid
ultimate,конечный,endgültig,último,ultime
ultimately,в конечном счете,letzten endes,por último,en fin de compte
unable,не в состоянии,unfähig,incapaz,incapable
uncle,дядя,onkel,tío,oncle
under,под,unter,debajo,en dessous de
undergo,проходить,unterziehen,someterse,subir
